case_name,case_description,length_m,q_x,q_x_dot,q_theta,q_theta_dot,R,K_x,K_x_dot,K_theta,K_theta_dot,peak_x_m,peak_x_dot_m_s,peak_theta_deg,peak_theta_dot_deg_s,peak_u_m_s2,settle_time_s
input_conservative,"Same state weights as baseline, larger input penalty",0.611111111111111,1,0.1,50,1,10,-0.316227766016826,-0.967117584217194,-24.1625570370292,-6.0131518504339,0.414066026212598,0.340172140136116,5,10.4366118805243,2.10858087998543,1.8348623853211
input_conservative,"Same state weights as baseline, larger input penalty",0.666666666666667,1,0.1,50,1,10,-0.316227766016831,-0.974025257574468,-24.3705402578489,-6.33419025513165,0.435756248804564,0.354171176418713,5,10.120096080444,2.12673083994645,1.92660550458716
input_conservative,"Same state weights as baseline, larger input penalty",0.722222222222222,1,0.1,50,1,10,-0.316227766016809,-0.980652921740117,-24.5714841316996,-6.64689125341546,0.456832080999993,0.367590428630669,5,9.84032705939267,2.14426650099849,2.01000834028357
input_conservative,"Same state weights as baseline, larger input penalty",0.777777777777778,1,0.1,50,1,10,-0.316227766016811,-0.987032216190766,-24.7661847207939,-6.95223932709784,0.477358815715748,0.380486178920741,5,9.59089481998893,2.16125733267483,2.08507089241034
input_conservative,"Same state weights as baseline, larger input penalty",0.833333333333333,1,0.1,50,1,10,-0.316227766016832,-0.993189234392575,-24.9552985158071,-7.25104491757036,0.49739646027073,0.392928109143005,5,9.36678888307407,2.17776062459444,2.15179316096747
input_conservative,"Same state weights as baseline, larger input penalty",0.888888888888889,1,0.1,50,1,10,-0.316227766016855,-0.999145796356856,-25.1393744642387,-7.54398450451693,0.516991897490263,0.404969570373604,5,9.16403822741184,2.19382428146375,2.2185154295246
input_conservative,"Same state weights as baseline, larger input penalty",0.944444444444444,1,0.1,50,1,10,-0.316227766016844,-1.00492036870502,-25.3188771266318,-7.83162956081344,0.536184557125748,0.41663958870315,5,8.97945618665391,2.20948884383803,2.27689741451209
input_conservative,"Same state weights as baseline, larger input penalty",1,1,0.1,50,1,10,-0.316227766016871,-1.01052874470567,-25.4942037914195,-8.1144679372106,0.555010651487366,0.427973886216747,5,8.81045657949999,2.22478898167346,2.33527939949958
angle_and_input_conservative,"More angle authority requested, but with larger input penalty",0.5,1,0.1,100,2,10,-0.316227766016845,-0.960046341860764,-23.9511821484502,-5.37855032360007,0.366939306470645,0.308526142636887,5,11.306557145001,2.09013494117673,1.57631359466222
angle_and_input_conservative,"More angle authority requested, but with larger input penalty",0.555555555555556,1,0.1,100,2,10,-0.316227766016829,-0.967519491361868,-24.1746175073642,-5.72100098617376,0.389977950944263,0.3239772198044,5,10.8795934864093,2.10963335456885,1.6930775646372
angle_and_input_conservative,"More angle authority requested, but with larger input penalty",0.611111111111111,1,0.1,100,2,10,-0.316227766016838,-0.974633486601781,-24.3889243397042,-6.05236892789957,0.412219349675972,0.338637052672373,5,10.5109373021522,2.12833515373811,1.80150125104254
angle_and_input_conservative,"More angle authority requested, but with larger input penalty",0.666666666666667,1,0.1,100,2,10,-0.316227766016859,-0.981435936556017,-24.595314330368,-6.37417747092329,0.433771890244809,0.352645360431885,5,10.1903358980164,2.14634607813933,1.89324437030859
angle_and_input_conservative,"More angle authority requested, but with larger input penalty",0.722222222222222,1,0.1,100,2,10,-0.316227766016838,-0.987964773976387,-24.7947528105741,-6.68763817091342,0.45471653043305,0.366056545333256,5,9.90763566949244,2.16375036881318,1.976647206005
angle_and_input_conservative,"More angle authority requested, but with larger input penalty",0.777777777777778,1,0.1,100,2,10,-0.316227766016839,-0.994250803576065,-24.9880236434505,-6.99373316166134,0.475124089656312,0.378965429015913,5,9.65538890476215,2.180616430722,2.05170975813178
angle_and_input_conservative,"More angle authority requested, but with larger input penalty",0.833333333333333,1,0.1,100,2,10,-0.316227766016848,-1.00031944731172,-25.1757736633019,-7.29327151144141,0.49504949508111,0.391421893720379,5,9.42859574501056,2.19700071080746,2.12677231025855
angle_and_input_conservative,"More angle authority requested, but with larger input penalty",0.888888888888889,1,0.1,100,2,10,-0.316227766016831,-1.006191975889,-25.3585440316543,-7.586928959224,0.514539035015707,0.403467136001494,5,9.22328704069916,2.21295043432163,2.19349457881568
angle_and_input_conservative,"More angle authority requested, but with larger input penalty",0.944444444444444,1,0.1,100,2,10,-0.316227766016835,-1.01188640007774,-25.5367929306809,-7.87527665256135,0.533633093620524,0.415143644801754,5,9.03627322519619,2.22850558520197,2.25187656380317
angle_and_input_conservative,"More angle authority requested, but with larger input penalty",1,1,0.1,100,2,10,-0.31622776601687,-1.01741813009631,-25.7109123509022,-8.15880239155239,0.552367473244432,0.42648678338568,5,8.86496272006521,2.24370037107459,2.31025854879066
